DATE_TIME,REGION,COUNTY,SCENE,latitude,longitude,Type of attack,Gender,type by number
2/4/2021,Nairobi,Nairobi,SOUTH B,-1.310341,36.8337368,Phishing,Female,1
10/16/2020,Nairobi,Nairobi,SOUTH C,-1.3222736,36.8288933,Phishing,Female,1
4/19/2020,South Rift,Nakuru,GILGIL,-0.4922735,36.3172993,Phishing,Female,1
1/5/2021,Central,Embu,KUBUKUBU,-0.023559,37.906193,Phishing,Female,1
1/4/2021,Central,Kiambu,HIGHPOINT,-0.023559,37.906193,Phishing,Female,1
1/23/2022,Coast,Mombasa,PUNGU VILLA LIKONI,-4.114235,39.6621754,Phishing,Female,1
5/22/2020,Central,Kiambu,KIAMBU ROAD,-1.1307381,36.7648591,Phishing,Female,1
6/11/2021,North Eastern,Garissa,BAGALE AREA,-0.7296799,39.0137487,Phishing,Female,1
5/24/2021,Nairobi,Nairobi,NAIROBI,-1.2920659,36.8219462,Phishing,Female,1
2/6/2022,West Kenya,Kisumu,"Rabuor Area, Kisumu County",-0.1492339,34.8256449,Phishing,Female,1
10/4/2020,South Rift,Nakuru,OLELUNGA AREA,-1.003036,35.6640447,Phishing,Female,1
1/22/2021,Coast,Kwale,NYUMBA TATU AREA,-0.023559,37.906193,Phishing,Female,1
5/29/2021,West Kenya,Kisumu,MUHORONI,-0.1566093,35.1983598,Phishing,Female,1
7/11/2020,Lower Eastern,Kitui,KAVUTE,-0.023559,37.906193,Phishing,Female,1
9/5/2020,West Kenya,Nandi,KINGWAL BRIDGE,-0.023559,37.906193,Phishing,Female,1
3/2/2020,Coast,Mombasa,MVITA AREA,-0.023559,37.906193,Phishing,Female,1
3/25/2020,Nairobi,Nairobi,LUSAKA ROAD,-1.2963961,36.8392875,Phishing,Female,1
12/14/2021,Upper Eastern,Isiolo,Mlima Mamba,-0.023559,37.906193,Phishing,Female,1
6/18/2020,Nairobi,Nairobi,SYOKIMAU,-1.3592272,36.9379845,Phishing,Female,1
2/9/2021,Central,Murang’a,ELLIOT BOYS,-0.023559,37.906193,Phishing,Female,1
2/25/2020,Central,Kiambu,NDIKO PRIMARY,-0.023559,37.906193,Phishing,Female,1
3/10/2021,South Rift,Uasin Gishu,ELDORET,0.5142775,35.2697802,Phishing,Female,1
12/19/2020,South Rift,Nakuru,NAKURU-KERICHO HIGHWAY,-0.3030988,36.080026,Phishing,Female,1
12/26/2021,Coast,Kwale,"KONAMUSA, UKUNDA , KWALE COUNTY",-4.3054944,39.5542326,Phishing,Female,1
4/1/2021,Coast,Mombasa,MOMBASA,-4.0434771,39.6682065,Phishing,Female,1
2/5/2022,South Rift,Narok,SUSWA,-1.1761411,36.3488674,Phishing,Female,1
1/25/2020,Lower Eastern,Makueni,NGOKOMI,-0.023559,37.906193,Phishing,Female,1
11/9/2020,South Rift,Bomet,CHEBOLE KAPLONG ROAD,-0.7501829,35.21416,Phishing,Female,1
2/26/2021,Lower Eastern,Nairobi,GATEWAY MALL,-0.023559,37.906193,Phishing,Female,1
1/13/2020,Nairobi,Nairobi,NEAR KEMPINSKI,-1.271462,36.8088652,Phishing,Female,1
3/8/2021,Central,Kirinyaga,KIBIRIGW,-0.5268899,37.1801181,Phishing,Female,1
2/14/2021,Nairobi,Nairobi,NEAR NTSA,-1.2931723,36.8097896,Phishing,Female,1
1/24/2020,Central,Meru,SUBUIGA  AREA,0.0514721,37.6456042,Phishing,Female,1
10/17/2021,Lower Eastern,Kitui,Mwingi along Nairobi- Garissa Highway,-0.937411,38.0605006,Phishing,Female,1
1/13/2022,Lower Eastern,Makueni,Wote Makindu Road,-2.0332155,37.7683954,Phishing,Female,1
6/30/2021,South Rift,Nakuru,KARAI,-1.2556684,36.6255869,Phishing,Female,1
3/11/2020,Nairobi,Nairobi,GETWAY MALL,-1.3642102,36.9117918,Phishing,Female,1
4/6/2021,Central,Nyeri,KIAWARA,-0.4191013,36.9534482,Phishing,Female,1
1/1/2020,West Kenya,Kisumu,AWASI,-0.1616445,35.0732265,Phishing,Female,1
8/10/2020,North Rift,Bungoma,MALABA HIGHWAY,0.636206,34.2782765,Phishing,Female,1
10/20/2021,Lower Eastern,Nairobi,"Imara Daima ,Nairobi",-1.328436,36.8806499,Phishing,Female,1
2/22/2021,Central,Tharaka-Nithi,NITHI,-0.023559,37.906193,Phishing,Female,1
8/30/2020,Nairobi,Nairobi,NEAR HILLCREST,-1.3272363,36.7332423,Phishing,Female,1
2/8/2020,South Rift,Kericho,KAPSUSER,-0.4,35.216667,Phishing,Female,1
5/5/2021,North Rift,Uasin Gishu,ELDORET TOWN,0.518945,35.272579,Phishing,Female,1
3/15/2020,Nairobi,Nairobi,KARIOBANGI SOUTH,-1.266457,36.8855854,Phishing,Female,1
11/2/2020,West Kenya,Kisumu,NEAR KOMBEWA,-0.1077967,34.4863567,Phishing,Female,1
8/2/2020,Central,Nyeri,KARICHEN AREA,-0.023559,37.906193,Phishing,Female,1
2/15/2020,Nairobi,Nairobi,CITY KABANAS,-1.2920659,36.8219462,Phishing,Female,1
8/13/2020,Nairobi,Nairobi,KARIOBANGI AREA,-1.240591,36.88044,Phishing,male,1
6/10/2020,Nairobi,Nairobi,BELLEVIEW,-1.3196146,36.838612,Phishing,male,1
1/11/2021,Central,Kiambu,THIKA-SGANA ROAD,-1.0387569,37.0833753,Phishing,male,1
1/12/2022,South Rift,Nakuru,GILGIL JUCTION,-0.4922735,36.3172993,Phishing,male,1
3/9/2020,Nairobi,Nairobi,NYAYO ROUND ABOUT,-1.3049049,36.8263952,Phishing,male,1
5/11/2021,Central,Kiambu,NGARARIGA AREA,-1.083333,36.616667,Phishing,male,1
5/16/2021,Central,Meru,MAUA,0.2325548,37.9413748,Phishing,male,1
2/21/2020,Lower Eastern,Machakos,NEAR KASEVE,-1.5215251,37.2675843,Phishing,male,1
9/19/2020,Lower Eastern,Nairobi,MOMBASA ROAD,-2.7316802,38.2171862,Phishing,male,1
6/12/2021,South Rift,Bomet,KIRULEX,-0.023559,37.906193,Phishing,male,1
