DATE,REGION,COUNTIES,NAME,TYPE,SCENE,Country,MINOR_CAS,CRITICAL_CAS,RESCUED,MISSING,DEAD,DAMAGE,SITUATION,RESPONSE_KRCS,HH AFFECTED,HH REACHED,latitude,longitude,CASUALTIES,Country_code
1/28/2020 0:00,North Rift,Turkana,ARMED CONFLICT AT CHEMOLINGOT IN TURKANA COUNTY,Armed Conflicts,CHEMOLINGOT,Kenya,0,16,0,0,0,0,Armed conflict was reported at Chemolingot in Turkana leaving 16 casualties injured and 2 fatalities. Casualties were evacuated to Nakuru CGH and Marigat Health Centre by E-Plus Ambulance and Turkana County Ambulance.,,0,0,1.3123011,36.1470838,16,KE
2/6/2020 0:00,Central,Laikipia,ARMED ATTACK IN LAIKIPIA COUNTY,Armed Conflicts,LAIKIPIA COUNTY,Kenya,0,1,0,0,1,0,There a bandit attack in Laikipia Couty. One police was injured and one bandit killed after fire exchange between the police and the bandits. The casualty was taken to Nyahururu County Referral hospital with approximately 70 sheep stolen from the community. The operation by the police still ongoing in search for the stolen sheep and the bandit.,,0,0,0.3606063,36.7819505,2,KE
2/6/2020 0:00,Central,Laikipia,ARMED ATTACK IN LAIKIPIA COUNTY,Armed Conflicts,LAIKIPIA COUNTY,Kenya,0,1,0,0,1,0,There a bandit attack in Laikipia Couty. One police was injured and one bandit killed after fire exchange between the police and the bandits. The casualty was taken to Nyahururu County Referral hospital with approximately 70 sheep stolen from the community. The operation by the police still ongoing in search for the stolen sheep and the bandit.,,0,0,0.3606063,36.7819505,2,KE
2/25/2020 0:00,South Rift,Baringo,"ARMED CONFLICT IN AMAYA MARKET, BARINGO COUNTY",Armed Conflicts,AMAYA MARKET,Kenya,0,0,0,0,1,0,"In Baringo County, one person was shot dead by suspected Pokot bandits in Amaya market, the body of the deceased was evacuated to the mortuary by police.",,0,0,0.89349,36.3024947,1,KE
2/25/2020 0:00,Upper Eastern,Samburu,INTER-COMMUNITY CONFLICT IN ISIOLO COUNTY,Armed Conflicts,ISIOLO,Kenya,0,0,0,0,4,0,"There was reports of inter-community conflict in the border of laikipia and Isiolo between the Ndorobo and Sasmburu in Oldonyio Sub-county, Isiolo County. Four fatalities reported, contingent of security dispatched to the area. KRCS Samburu Rcat team in Oldonyiro activated to monitor the situation.",,0,0,0.355636,37.5833061,4,KE
2/26/2020 0:00,Central,Laikipia,ARMED ATTACK AT KIMENJU VILLAGE IN LAIKIPIA COUNTY,Armed Conflicts,KIMENJU VILLAGE,Kenya,0,0,0,0,5,0,"Five people confirmed dead after a 2am attack  by over ten armed bandits at Kimenju village in Laikipia North. The attack came only a few days after local leaders raised concerns over insecurity in the area caused by frequent cattle raids.Among the dead were three suspected bandits and two game rangers belonging to Nangubar conservancy. Police were deployed in the area to beef up security. 
",,0,0,0.1229651,37.0431907,5,KE
2/27/2020 0:00,Coast,Mombasa,ARMED ATTACK IN VIKWATANI IN MOMBASA COUNTY,Armed Conflicts,VIKWATANI,Kenya,0,3,0,0,0,0,Three casualties with critical injuries were hospitalised in vikwatani clinic following an armed attack by Kisauni gangsters at vikwatani village.National police responded to provide security to the residents,,0,0,-3.9974335,39.6812228,3,KE
2/29/2020 0:00,Coast,Mombasa,ARMED ATTACK AT VIKWATANI AREA IN MOMBASA COUNTY,Armed Conflicts,VIKWATANI AREA,Kenya,0,3,0,0,0,0,Three casualties with critical injuries were hospitalised in vikwatani clinic following an armed attack by Kisauni gangsters at vikwatani village. National police responded to provide security to the residents.,,0,0,-3.9922832,39.6810751,3,KE
3/2/2020 0:00,North Eastern,Mandera,ARMED ATTACK IN MANDERA COUNTY,Armed Conflicts,MANDERA,Kenya,0,3,0,0,5,0,"Gun fire exchange reported between Somalia National Army (SNA) and Kenya Defence Force (KDF) after SNA invaded Kenya in Mandera County to arrest Fugitive Janan. The battled occurred at the border between Mandera and Bulla Hawo areas. 3 critically injured casualties were reported and 5 people were feared dead. KRCS Mandera team on stand by.
",,0,0,3.9356389,41.8551162,8,KE
3/13/2020 0:00,Upper Eastern,Marsabit,"ARMED ATTACK IN SESI AREA, MARSABIT COUNTY",Armed Conflicts,SESI AREA,Kenya,0,0,0,0,5,0,"Five people reported to have been killed by armed militia who were believed to have come from Ethiopia. The attack occurred in Sesi area, in Moyale town of Marsabit County. The bodies of the deceased were taken to the mortuary by the community members. Moyale KRCS Rcat monitoring the situation as tension persists in the area.
",,0,0,2.34152,37.97678,5,KE
4/1/2020 0:00,Upper Eastern,Marsabit,ARMED CONFLICT IN MOYALE BORDER IN MARSABIT COUNTY,Armed Conflicts,MOYALE,Kenya,2,0,0,0,0,0,"In Marsabit County, there was border conflict between Kenya Defence forces and Ethiopia soldiers at
Moyale with two casualties reported by the well-wishers and the police to Marsabit County hospital.
",,0,0,3.5210916,39.0546262,2,KE
4/6/2020 0:00,South Rift,Baringo,BANDIT ATTACK IN TUGEN IN BARINGO COUNTY,Armed Conflicts,TUGEN,Kenya,0,1,0,0,0,0,"Five bandits from Tugen in Baringo County reported to have attacked homesteads in Yatta area injuring
one person who is admitted at Kabarnet, Pokot on the other hand have been reported to be re-regrouping
and organizing an attack. Tension remains high in the area.
",,0,0,0.4665333,35.859452,1,KE
